actor.id;condition;SES;actor.age.years;Sex;dist;eq.uneq;Offer;decision;trial;actor.age.months;IQ.percentil;Order;TEORIA DE LA MENTE NIVEL TODOS;Control motor;CONTROL  COGNITIVO 
3;AI;LOW;7;M;t1.dist;E;E;accept;1;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t2.dist;E;E;reject;2;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t3.dist;E;E;accept;3;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t4.dist;E;E;accept;4;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t5.dist;E;E;accept;5;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t6.dist;E;E;accept;6;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t7.dist;U;AI;reject;7;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t8.dist;U;AI;accept;8;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t9.dist;U;AI;accept;9;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t10.dist;U;AI;accept;10;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t11.dist;U;AI;accept;11;7.08;23;1;MEDIO;2;Bajo
3;AI;LOW;7;M;t12.dist;U;AI;accept;12;7.08;23;1;MEDIO;2;Bajo
5;AI;LOW;9;M;t1.dist;E;E;accept;1;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t2.dist;E;E;accept;2;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t3.dist;E;E;reject;3;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t4.dist;E;E;accept;4;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t5.dist;E;E;accept;5;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t6.dist;E;E;accept;6;9.16;3;1;BAJO;; 
5;AI;LOW;9;M;t7.dist;U;AI;accept;7;9.16;3;1;BAJO;; 
